year,month,quote
2017,January,"Les forges établies à Engelsberg par des ouvriers wallons.Les Wallons de Suède (photo) ont constitué un modèle mythique pour le syndicalisme de la métallurgie suédoise des années 1920.
présente 3 jours en page d'accueil du 25 janvier 2017 à 00:01:56 au 28 janvier 2017 à 00:02:18"
2017,January,"Dashrath Manjhi, travailleur agricole indien, creusa pendant 22 ans une tranchée entre son village et l’hôpital, et eut droit à des obsèques d’État.
présente 3 jours en page d'accueil du 25 janvier 2017 à 00:01:56 au 28 janvier 2017 à 00:02:18"
2017,January,"Les étapes de la transformation du photomaton sur une image 256×256.En répétant la transformation du Photomaton, on finit toujours par retrouver l’image de départ (photo).
présente 3 jours en page d'accueil du 26 janvier 2017 à 00:02:14 au 29 janvier 2017 à 00:02:02"
2017,January,"Pierre Bachelet et Hervé Roy figurent parmi les coauteurs de Littlest Things, un des premiers succès de Lily Allen.
présente 3 jours en page d'accueil du 26 janvier 2017 à 00:02:14 au 29 janvier 2017 à 00:02:02"
2017,January,"Madeleine Pelletier.Madeleine Pelletier (photo), première femme médecin diplômée en psychiatrie en France, et opposée aux internements forcés, a terminé sa vie internée de force en hôpital psychiatrique.
présente 3 jours en page d'accueil du 27 janvier 2017 à 00:02:02 au 30 janvier 2017 à 00:02:24"
2017,January,"De façon inexpliquée, on ne trouve pas la même taille pour le proton suivant qu’on se sert d’un électron ou d’un muon pour l’estimer.
présente 3 jours en page d'accueil du 27 janvier 2017 à 00:02:02 au 30 janvier 2017 à 00:02:24"
2017,January,"Drapeau d’Andorre.L’hymne national de la principauté d’Andorre (drapeau) en fait « la seule fille de l’empereur Charlemagne ».
présente 3 jours en page d'accueil du 28 janvier 2017 à 00:02:18 au 31 janvier 2017 à 00:02:29"
2017,January,"Bien qu’honoré comme tel au Japon, l’historien de l’art Langdon Warner n’est pas le sauveur des anciennes capitales impériales du pays : Kyoto et Nara.
présente 3 jours en page d'accueil du 28 janvier 2017 à 00:02:18 au 31 janvier 2017 à 00:02:29"
2017,January,"Cheval de Troie d’après le Vergilius Vaticanus.L’épisode du cheval de Troie (illustration) apparaît dans l’Odyssée mais non dans l’Iliade.
présente 3 jours en page d'accueil du 29 janvier 2017 à 00:02:02 au 01 février 2017 à 00:01:40"
2017,January,"La Marseillaise a été enseignée dans les écoles de la Chine maoïste jusque dans les années 1970.
présente 3 jours en page d'accueil du 29 janvier 2017 à 00:02:02 au 01 février 2017 à 00:01:40"
